建物名,家賃(万円),間取り,管理費
アークアムール弐番館,6.8,2DK,3500円
一条貸家（平屋）,5.0,2K,なし
平田様方貸家,7.5,3LDK,なし
新田第６ハイツ,6.0,3DK,5000円
日東ハイツ,7.8,1LDK,5000円
メゾンドネージュ10号館,5.1,3DK,3500円
メゾンドネージュ10号館,5.5,3DK,3500円
ステイトヤマノウチ,14.8,4LDK,なし
ステイトヤマノウチ,14.8,4LDK,なし
テレパレス大宮三橋II,6.7,1LDK,3000円
エステートガーデン浦和ウエスト,6.8,2DK,3000円
澤田様方貸家,6.0,2DK,3000円
沼尾ハイツ,6.2,2LDK,3000円
染谷貸家,5.5,2LDK,なし
浦和原山一丁目戸建て,6.0,3LDK,なし
ＪＲ埼京線 南与野駅 2階建 築39年,3.1,1K,2000円
内野本郷ハウス,7.0,4LDK,なし
浦和東マンション,6.7,3DK,3000円
浦和東マンション,7.0,3LDK,5000円
浦和東マンション,7.0,3LDK,5000円
風見鶏グランドハイツII,6.9,3DK,3000円
風見鶏グランドハイツII,6.9,3DK,3000円
風見鶏グランドハイツII,7.0,3DK,5000円
メゾン中郷,6.8,3DK,4000円
メゾンコルザ,7.8,3DK,4500円
ブルーベリーハイツ,6.6,3DK,4000円
ＪＲ武蔵野線 東浦和駅 2階建 築34年,6.6,3LDK,4000円
ビレッジハウス大谷2号棟,7.38,3DK,なし
ビレッジハウス大谷2号棟,7.41,3DK,なし
大宮公園貸家,11.0,2LDK,なし
西区飯田　DIY対応型・戸建賃貸,8.5,6SK,なし
加茂川団地 4号棟,4.5,2LDK,8000円
セジュール彩　弐番館,7.3,2LDK,5000円
スカイコーポ,4.7,2K,なし
メマリス・ソート　Ｂ棟,6.4,2DK,3500円
ＪＲ京浜東北線 浦和駅 3階建 築50年,7.0,3LDK,5000円
ゴールドマンション小熊ＰＡＲＴ２,7.0,2LDK,7500円
パールハイツ榎,8.3,2LDK,3000円
アーバンハイツ２,3.5,1K,2000円
北原荘,4.5,2DK,3000円
Ｆｅｌｉｃｅ浦和,4.7,ワンルーム,なし
神山ハイツ,5.5,1K,5000円
オークリーフ,6.1,2DK,2000円
オークリーフ,6.2,2DK,2000円
オークリーフ,6.2,2DK,2000円
矢作コーポ,6.3,3DK,2000円
浦和昭和ビル,6.7,3DK,3000円
セジュールネオサイト　I,8.3,3DK,6000円
ＪＲ埼京線 与野本町駅 2階建 築34年,13.0,5SLDK,なし
浦和東マンションＣ棟,6.7,3DK,3000円
浦和東マンションＣ棟,7.0,3LDK,5000円
